LEADID,StateFIPS,n_school_districts,n_counties,n_tracts,n_blocks,n_ISPs,zoom_5_5_coverage_pct,fcc_25_3_coverage_pct,other_100_20_coverage_pct,max_MaxAdDown,median_MaxAdDown,mean_MaxAdDown,min_MaxAdDown,std_MaxAdDown,max_MaxAdUp,median_MaxAdUp,mean_MaxAdUp,min_MaxAdUp,std_MaxAdUp,n_LEADIDs
5304230,53,1,1,55,184,16,0.8695882852292021,0.7387521222410866,0.3921901528013582,5000.0,25.0,728.8188136672326,0.0,1322.9749288460985,5000.0,4.0,456.3723427419354,0.0,1323.6823388547057,1
5304260,53,1,1,7,141,13,0.8938848920863309,0.47182254196642687,0.18345323741007194,1200.0,20.0,191.95863309352518,0.0,399.3450472887463,1000.0,3.0,62.83828776978417,0.0,225.9128515277891,1
5304290,53,1,2,3,804,17,0.9194505151420543,0.5476116141117702,0.11208242272869186,1000.0,25.0,92.84108648142366,0.0,241.2192763043212,1000.0,3.0,77.699800811739,0.0,245.39827619388382,1
5304380,53,1,1,5,499,16,0.9397081413210445,0.6797235023041475,0.09101382488479262,10000.0,30.0,137.86109523809523,0.0,729.0656671616515,10000.0,10.0,68.33592549923195,0.0,695.4526150651865,1
5304410,53,1,1,3,631,13,0.8071216617210683,0.2423343224530168,0.0019782393669634025,1000.0,15.0,17.347428288822947,0.0,44.959981004756834,35.0,2.0,3.725120672601385,0.0,3.9823214044959414,1
5304470,53,1,1,16,279,14,0.6486710963455149,0.5210409745293466,0.2713178294573643,1200.0,25.0,309.0950996677741,0.0,491.35279087635627,940.0,3.0,91.7353023255814,0.0,266.19821638519284,1
5304500,53,1,2,4,274,12,0.9218151995626025,0.8201202843083653,0.0803717878622198,1000.0,30.0,65.9694018589393,0.0,177.43605416592325,100.0,10.0,11.693375615090213,0.0,17.375988090207265,1
5304530,53,1,1,3,173,5,0.9660633484162896,0.416289592760181,0.04524886877828054,1000.0,20.0,51.331447963800905,0.0,140.61644485741542,1000.0,10.0,40.37220814479638,0.0,142.84034538627367,1
5304560,53,1,1,9,307,9,0.8955773955773956,0.6588861588861589,0.2022932022932023,5000.0,25.0,254.29627354627354,0.0,495.9170907682602,5000.0,3.0,42.58324488124488,0.0,256.8926001056416,1
5304590,53,1,1,2,570,9,0.532520325203252,0.26371951219512196,0.1016260162601626,1000.0,5.0,110.8508638211382,0.0,298.619151768629,300.0,0.9,5.284456808943089,0.0,12.576357722689574,1
5304620,53,1,1,6,278,9,0.932478310071671,0.4270086759713316,0.18030931723877783,1200.0,20.0,204.20181063749527,0.0,424.60700099601956,1000.0,4.0,11.016191625801584,0.0,35.68485300830587,1
5304650,53,1,1,2,481,10,0.530765115034778,0.24184055644729802,0.0888175494917068,1000.0,10.0,64.38951310861424,0.0,216.30817153306762,50.0,1.0,6.568180845371857,0.0,11.762252958465336,1
5304710,53,1,1,3,687,17,0.9805043441407078,0.7175248993430812,0.3187115914388642,1000.0,30.0,328.65808433990253,0.0,452.15645435341906,1000.0,30.0,319.9161703750795,0.0,455.1868619199932,1
5304740,53,1,1,4,303,12,0.923660502607871,0.5912754860123282,0.39260312944523473,1000.0,25.0,391.0320056899004,0.0,476.42671239299943,1000.0,3.0,154.75435182550973,0.0,326.57417784457675,1
5304800,53,1,2,3,346,7,0.5508474576271186,0.4459745762711864,0.3008474576271186,1200.0,10.0,315.8567711864407,0.0,471.25196310470994,1000.0,1.0,204.72727118644067,0.0,399.5171833866939,1
5304830,53,1,1,6,256,12,0.9223616922361693,0.800092980009298,0.028358902835890282,1000.0,30.0,54.07187726638772,0.0,160.65750131797077,35.0,10.0,8.025383542538354,0.0,5.8822861274269655,1
5304860,53,1,1,24,420,15,0.926829268292683,0.5855579028231227,0.32360284232763586,3000.0,25.0,304.63625888227386,0.0,479.0215931687437,3000.0,6.0,108.54304897253697,0.0,295.28907679550815,1
5304890,53,1,2,3,515,9,0.49282845668387837,0.3958691910499139,0.22432587492828457,1200.0,3.0,255.57300975329892,0.0,465.91463937265286,1000.0,0.75,80.42330694205393,0.0,261.41308967981405,1
5304920,53,1,1,21,218,16,0.9258541740049313,0.7481507573089116,0.22983444874955972,2000.0,30.0,231.94381824586122,0.0,454.8276759695988,2000.0,10.0,37.388113772455085,0.0,211.23211437304056,1
5304950,53,1,1,5,267,16,0.9311314125087843,0.6247364722417428,0.07730147575544624,1200.0,25.0,106.38045678144766,0.0,296.1620256632877,940.0,10.0,12.218182712579058,0.0,58.723916403711975,1
5304980,53,1,1,7,96,8,0.7978723404255319,0.7061170212765957,0.35638297872340424,3000.0,25.0,373.5069813829787,0.0,518.2592903817513,3000.0,4.0,104.58134308510638,0.0,286.9893808319326,1
5305010,53,1,1,6,162,9,0.9157134256472005,0.4641782059000602,0.24021673690547862,1200.0,20.0,288.1387718242023,0.0,490.33965592285006,940.0,10.0,26.594229981938593,0.0,113.8975633959525,1
5305020,53,1,1,4,538,11,0.958904109589041,0.5345727332028702,0.17645140247879973,1000.0,25.0,53.315899543379,0.0,95.31306301026325,1000.0,6.0,20.641095238095236,0.0,39.50623437862915,1
5305040,53,1,1,2,556,7,0.24258064516129033,0.10709677419354839,0.0064516129032258064,1000.0,2.0,11.194193548387096,0.0,71.84581020684323,35.0,0.064,0.7239741935483871,0.0,2.7806478785808477,1
5305130,53,1,1,16,228,10,0.9104477611940298,0.5501492537313433,0.23313432835820896,1200.0,25.0,270.36955223880597,0.0,470.8811199352492,1000.0,4.0,49.443794626865675,0.0,193.8730240282862,1
5305160,53,1,1,6,742,12,0.43390259329538267,0.3080328905755851,0.1869070208728653,1200.0,2.0,224.4645211891208,0.0,457.85223042813533,1000.0,0.064,12.845641998734978,0.0,77.64703004932497,1
5305190,53,1,1,3,347,8,0.5515818431911967,0.36451169188445665,0.16987620357634112,1000.0,15.0,95.11932599724896,0.0,260.5027869873486,1000.0,1.0,78.34179092159559,0.0,262.71326130377344,1
5305220,53,1,1,14,474,18,0.8112022772940388,0.604655056932351,0.4956463496316142,1000.0,60.0,499.689782987274,0.0,492.6841771929758,1000.0,10.0,434.2453009042197,0.0,492.19396027422533,1
5305250,53,1,1,4,348,8,0.5734624145785877,0.36161731207289294,0.18052391799544418,1000.0,15.0,104.52705011389521,0.0,274.2128989311755,1000.0,2.0,87.84022551252846,0.0,277.013692131491,1
5305280,53,1,1,3,636,15,0.4739463601532567,0.1739463601532567,0.06666666666666667,1000.0,3.0,31.563321072796935,0.0,129.7736419952753,852.0,1.0,11.16724521072797,0.0,72.84390689963072,1
5305310,53,1,1,10,362,8,0.906187624750499,0.4384564204923486,0.17298735861610112,1200.0,20.0,186.2282102461743,0.0,404.88913005479617,1000.0,3.0,9.788649367930805,0.0,27.803388716843692,1
5305340,53,1,2,2,257,9,0.538135593220339,0.24152542372881355,0.11652542372881355,1200.0,7.0,91.20444915254237,0.0,276.43753021577555,1000.0,0.75,38.3491906779661,0.0,183.3178979233557,1
